Date,IAG.AX,BHP.AX,BEN.AX,COL.AX,TLS.AX
2020-01-02,6.5,38.0,9.5,15.0,3.8
2020-01-03,6.46,39.67,9.6,15.13,3.81
2020-01-06,6.39,39.01,9.58,14.86,3.74
2020-01-07,6.3,37.71,9.56,14.74,3.69
2020-01-08,6.54,37.99,9.72,14.45,3.7
2020-01-09,6.56,36.81,9.77,14.36,3.74
2020-01-10,6.46,38.59,9.73,14.31,3.75
2020-01-13,6.26,38.43,9.33,13.91,3.74
2020-01-14,6.38,38.9,9.39,13.83,3.64
2020-01-15,6.27,38.17,9.46,14.04,3.54
2020-01-16,6.32,37.89,9.4,14.01,3.6
2020-01-17,6.47,37.33,9.44,13.95,3.69
2020-01-20,6.39,37.0,9.24,13.64,3.75
2020-01-21,6.61,37.4,9.51,13.77,3.73
2020-01-22,6.68,39.2,9.57,14.06,3.47
2020-01-23,6.81,39.62,9.61,14.0,3.33
2020-01-24,6.78,39.98,9.8,14.15,3.3
2020-01-27,6.7,40.88,9.81,14.19,3.32
2020-01-28,6.71,42.08,9.73,14.09,3.26
2020-01-29,6.47,41.92,9.62,14.21,3.23
2020-01-30,6.24,40.91,9.42,14.09,3.23
2020-01-31,6.31,43.3,9.51,14.22,3.18
2020-02-03,6.01,42.55,9.33,14.69,3.11
2020-02-04,6.06,42.66,9.2,14.7,3.12
2020-02-05,6.18,41.89,9.46,14.6,3.23
2020-02-06,6.52,41.56,9.59,14.4,3.23
2020-02-07,6.27,41.1,9.29,14.41,3.14
2020-02-10,6.51,40.78,9.39,14.39,3.08
2020-02-11,6.55,42.42,9.22,14.26,3.03
2020-02-12,6.68,41.25,9.11,14.07,3.06
2020-02-13,6.72,41.79,9.05,14.03,3.06
2020-02-14,6.61,43.78,9.07,14.03,3.07
2020-02-17,6.45,44.42,9.13,14.15,3.12
2020-02-18,6.51,45.67,9.43,14.39,3.09
2020-02-19,6.37,44.27,9.32,14.44,3.12
2020-02-20,6.51,44.65,9.6,14.57,3.31
2020-02-21,6.61,43.84,9.51,14.43,3.3
2020-02-24,6.73,44.76,9.58,14.29,3.21
2020-02-25,6.66,45.71,9.58,14.19,3.21
2020-02-26,6.72,44.75,9.63,14.17,3.17
2020-02-27,6.78,45.65,9.83,14.49,3.08
2020-02-28,6.63,45.97,9.81,14.71,3.28
2020-03-02,6.72,47.74,10.02,14.99,3.23
2020-03-03,6.85,47.04,10.06,14.81,3.27
2020-03-04,7.25,45.55,10.39,14.46,3.35
2020-03-05,7.45,46.11,10.35,14.16,3.39
2020-03-06,7.32,46.13,10.28,14.12,3.53
2020-03-09,7.44,43.76,10.36,13.93,3.67
2020-03-10,7.29,43.34,10.34,14.16,3.58
2020-03-11,7.23,42.66,10.2,14.33,3.57
2020-03-12,7.01,43.33,10.39,14.88,3.44
2020-03-13,6.92,44.74,10.25,14.94,3.43
2020-03-16,6.77,44.33,9.67,14.37,3.38
2020-03-17,6.56,45.94,9.37,14.24,3.31
2020-03-18,6.79,44.68,9.65,14.28,3.32
2020-03-19,6.88,45.16,9.62,14.2,3.28
2020-03-20,6.9,46.1,9.86,14.26,3.44
2020-03-23,6.56,45.12,9.74,14.46,3.4
2020-03-24,6.53,44.44,9.63,14.5,3.41
2020-03-25,6.42,45.34,9.61,14.75,3.41
2020-03-26,6.29,44.31,9.62,14.97,3.41
2020-03-27,6.31,46.01,9.57,15.04,3.34
2020-03-30,6.28,47.41,9.68,15.35,3.39
2020-03-31,6.28,48.38,9.65,15.4,3.35
2020-04-01,6.3,49.28,9.56,15.66,3.22
2020-04-02,6.11,50.42,9.56,16.01,3.22
2020-04-03,6.11,49.16,9.56,15.86,3.31
2020-04-06,6.09,47.97,9.49,15.85,3.29
2020-04-07,5.96,47.99,9.44,15.86,3.26
2020-04-08,6.0,46.14,9.26,15.45,3.28
2020-04-09,6.05,48.25,9.42,15.61,3.25
2020-04-10,5.9,47.83,9.28,15.68,3.19
2020-04-13,5.98,50.19,9.34,15.79,3.18
2020-04-14,5.92,50.37,9.31,15.85,3.12
2020-04-15,5.93,51.14,9.51,16.26,3.24
2020-04-16,5.81,52.11,9.47,16.76,3.13
2020-04-17,5.69,50.86,9.09,16.34,3.07
2020-04-20,5.72,51.47,9.36,16.82,3.04
2020-04-21,5.59,51.82,9.1,17.02,3.04
2020-04-22,5.53,49.1,9.21,17.15,3.17
2020-04-23,5.31,47.59,9.05,17.21,3.15
2020-04-24,5.39,46.44,9.08,17.13,3.21
2020-04-27,5.49,45.28,8.93,17.02,3.22
2020-04-28,5.39,47.02,8.9,17.38,3.15
2020-04-29,5.67,50.3,9.09,17.53,3.14
2020-04-30,5.86,49.57,9.3,17.72,3.06
2020-05-01,5.69,46.19,9.12,17.76,3.18
2020-05-04,5.7,48.41,8.97,17.3,3.14
2020-05-05,5.76,48.57,8.74,16.93,3.04
2020-05-06,5.86,49.41,8.69,16.68,2.97
2020-05-07,5.85,50.77,8.58,16.68,2.89
2020-05-08,5.74,50.29,8.38,16.45,2.82
2020-05-11,6.02,51.27,8.47,16.29,2.81
2020-05-12,5.99,52.11,8.55,16.37,2.78
2020-05-13,5.95,48.59,8.32,16.27,2.88
2020-05-14,5.91,49.32,8.34,16.9,2.88
2020-05-15,5.9,47.96,8.13,16.64,2.84
2020-05-18,5.69,46.5,7.87,16.82,2.85
2020-05-19,5.69,48.5,7.9,16.76,2.91
2020-05-20,5.77,47.33,7.91,16.5,2.87
2020-05-21,5.9,50.35,7.85,16.44,2.77
2020-05-22,5.83,49.32,7.71,16.31,2.73
2020-05-25,5.87,49.41,7.71,16.11,2.71
2020-05-26,5.99,50.49,7.67,15.97,2.73
2020-05-27,5.74,50.56,7.47,16.09,2.65
2020-05-28,5.48,47.42,7.31,16.14,2.63
2020-05-29,5.57,45.48,7.34,15.81,2.65
2020-06-01,5.58,44.41,7.3,15.88,2.62
2020-06-02,5.7,43.35,7.41,16.12,2.52
